team	number	name	height	kg	birth	position
인천 유나이티드	19	송시우	174Cm	73Kg	1993/08/28	FW
인천 유나이티드	11	이용재	183Cm	79Kg	1991/06/08	FW
인천 유나이티드	37	홍시후	175Cm	71Kg	2001/01/08	FW
전남 드래곤즈	12	박희성	188Cm	80Kg	1990/04/07	FW
전남 드래곤즈	89	발로텔리	183Cm	77Kg	1989/04/02	FW
전남 드래곤즈	99	이중민	188Cm	84Kg	1999/11/03	FW
전남 드래곤즈	7	임찬울	176Cm	71Kg	1994/07/14	FW
전남 드래곤즈	29	정우빈	175Cm	64Kg	2001/05/08	FW
전남 드래곤즈	39	최성진	192Cm	85Kg	2002/06/24	FW
전남 드래곤즈	40	추상훈	170Cm	70Kg	2000/02/03	FW
전남 드래곤즈	9	카차라바	197Cm	90Kg	1994/01/13	FW
전남 드래곤즈	11	플라나	183Cm	83Kg	1996/08/26	FW
전남 드래곤즈	14	한석희	168Cm	68Kg	1996/05/16	FW
전북 현대 모터스	9	구스타보	189Cm	83Kg	1994/03/29	FW
전북 현대 모터스	27	문선민	172Cm	68Kg	1992/06/09	FW
전북 현대 모터스	88	박규민	180Cm	71Kg	2001/06/08	FW
전북 현대 모터스	37	박준범	183Cm	77Kg	2001/04/05	FW
전북 현대 모터스	47	박채준	170Cm	66Kg	2003/05/26	FW
전북 현대 모터스	32	배재익	174Cm	70Kg	2001/03/16	FW
전북 현대 모터스	21	송민규	179Cm	72Kg	1999/09/12	FW
전북 현대 모터스	18	이근호	185Cm	85Kg	1996/05/21	FW
전북 현대 모터스	77	이윤권	175Cm	65Kg	2000/01/16	FW
전북 현대 모터스	44	이준호	188Cm	86Kg	2002/09/28	FW
전북 현대 모터스	10	일류첸코	187Cm	82Kg	1990/08/13	FW
제주 유나이티드	20	김범수	172Cm	63Kg	2000/04/08	FW
제주 유나이티드	19	김주공	180Cm	66Kg	1996/04/23	FW
제주 유나이티드	29	변경준	181Cm	70Kg	2002/04/08	FW
제주 유나이티드	11	제르소	172Cm	62Kg	1991/02/23	FW
제주 유나이티드	10	조나탄 링	182Cm	74Kg	1991/12/05	FW
제주 유나이티드	7	조성준	176Cm	72Kg	1990/11/27	FW
제주 유나이티드	18	주민규	183Cm	79Kg	1990/04/13	FW
제주 유나이티드	2	진성욱	183Cm	82Kg	1993/12/16	FW
충남아산 프로축구단	18	강민규	185Cm	80Kg	1998/09/07	FW
충남아산 프로축구단	77	박민서	183Cm	72Kg	1998/06/30	FW
충남아산 프로축구단	7	송승민	186Cm	77Kg	1992/01/11	FW
충남아산 프로축구단	10	유강현	186Cm	78Kg	1996/04/27	FW
충남아산 프로축구단	99	정건우	184Cm	78Kg	2002/09/02	FW
충남아산 프로축구단	9	조주영	187Cm	85Kg	1994/02/04	FW
포항 스틸러스	88	권기표	175Cm	71Kg	1997/06/26	FW
포항 스틸러스	12	김승대	175Cm	64Kg	1991/04/01	FW
포항 스틸러스	90	모세스	185Cm	79Kg	1991/02/07	FW
포항 스틸러스	77	완델손	172Cm	62Kg	1989/03/31	FW
포항 스틸러스	22	이광혁	169Cm	60Kg	1995/09/11	FW
포항 스틸러스	99	이지용	176Cm	68Kg	1999/04/01	FW
포항 스틸러스	18	이호재	191Cm	85Kg	2000/10/14	FW
포항 스틸러스	7	임상협	180Cm	73Kg	1988/07/08	FW
포항 스틸러스	27	정재희	174Cm	70Kg	1994/04/28	FW
포항 스틸러스	8	허용준	184Cm	75Kg	1993/01/08	FW
